Iteration,Accuracy,AUC,F1,Recall,Precision
0,0.6831831831831832,0.704573558746807,0.6798179059180577,0.6934984520123839,0.6666666666666666
1,0.6891891891891891,0.722463421458809,0.6655896607431341,0.6377708978328174,0.6959459459459459
2,0.6606606606606606,0.67921905604347,0.6169491525423728,0.5634674922600619,0.6816479400749064
3,0.6681681681681682,0.7030030057135637,0.6046511627906977,0.5232198142414861,0.7161016949152542
4,0.6756756756756757,0.700791594833422,0.6375838926174497,0.5882352941176471,0.6959706959706959
5,0.6681681681681682,0.7042215382393558,0.627318718381113,0.5758513931888545,0.6888888888888889
6,0.6591591591591591,0.7129949724250603,0.6743185078909611,0.7275541795665634,0.6283422459893048
7,0.6861861861861862,0.7385661031329825,0.6984126984126984,0.7492260061919505,0.654054054054054
8,0.6396396396396397,0.6767819909918856,0.6141479099678457,0.5913312693498453,0.6387959866220736
9,0.6486486486486487,0.6704185433571924,0.6320754716981132,0.6222910216718266,0.6421725239616614
10,0.6486486486486487,0.6704004910234771,0.5909090909090909,0.5232198142414861,0.678714859437751
11,0.6546546546546547,0.6949697172101923,0.6266233766233766,0.5975232198142415,0.658703071672355
12,0.6711711711711712,0.7035445757250268,0.6518282988871223,0.6346749226006192,0.6699346405228758
13,0.6621621621621622,0.6975331485977849,0.6341463414634146,0.6037151702786377,0.6678082191780822
14,0.6426426426426426,0.680482719403551,0.6638418079096045,0.7275541795665634,0.6103896103896104
15,0.6501501501501501,0.686002220437047,0.6713681241184766,0.7368421052631579,0.616580310880829
16,0.6456456456456456,0.6710142703698021,0.6380368098159509,0.6439628482972136,0.6322188449848024
17,0.6486486486486487,0.6976865934343662,0.6608695652173913,0.7058823529411765,0.6212534059945504
18,0.6276276276276276,0.6409210300661619,0.5079365079365079,0.39628482972136225,0.7071823204419889
19,0.5885885885885885,0.5639278267698056,0.6513994910941476,0.7925696594427245,0.5529157667386609
20,0.6171171171171171,0.6325537733890549,0.5286506469500923,0.44272445820433437,0.6559633027522935
21,0.6456456456456456,0.6559225193836933,0.5740072202166066,0.49226006191950467,0.6883116883116883
22,0.6876876876876877,0.7242867071640686,0.6904761904761905,0.718266253869969,0.664756446991404
23,0.6351351351351351,0.6686494146530794,0.624420401854714,0.6253869969040248,0.6234567901234568
24,0.6831831831831832,0.729828773614709,0.698140200286123,0.7554179566563467,0.648936170212766
25,0.6771771771771772,0.7093303486808258,0.6666666666666666,0.6656346749226006,0.6677018633540373
26,0.6711711711711712,0.7138344059428283,0.671664167916042,0.6934984520123839,0.6511627906976745
27,0.6486486486486487,0.6950960835462004,0.5865724381625442,0.5139318885448917,0.6831275720164609
28,0.6051051051051051,0.6025327424202764,0.48330058939096265,0.38080495356037153,0.6612903225806451
29,0.6756756756756757,0.7189973733854444,0.6549520766773163,0.6346749226006192,0.6765676567656765
30,0.6816816816816816,0.7411114821868596,0.6835820895522388,0.7089783281733746,0.659942363112392
31,0.6771771771771772,0.7284567962523356,0.6656298600311042,0.6625386996904025,0.66875
32,0.6471471471471472,0.6955022610547978,0.5955249569707401,0.5356037151702786,0.6705426356589147
33,0.6636636636636637,0.7157750318172381,0.6923076923076923,0.7801857585139319,0.6222222222222222
34,0.6876876876876877,0.7278700954065837,0.6708860759493671,0.6563467492260062,0.686084142394822
