Iteration,Accuracy,AUC,F1,Recall,Precision
0,0.6906906906906907,0.7450559171036836,0.6916167664670659,0.7151702786377709,0.6695652173913044
1,0.6786786786786787,0.6948162723736111,0.6737804878048781,0.6842105263157895,0.6636636636636637
2,0.6501501501501501,0.6961611712354114,0.6588579795021963,0.6965944272445821,0.625
3,0.7027027027027027,0.7492440585256659,0.6857142857142856,0.6687306501547987,0.7035830618892508
4,0.6861861861861862,0.7283304299163276,0.7001434720229555,0.7554179566563467,0.6524064171122995
5,0.6561561561561562,0.6824323714448185,0.6264274061990212,0.5944272445820433,0.6620689655172414
6,0.6681681681681682,0.7078590834830173,0.6625954198473283,0.6718266253869969,0.6536144578313253
7,0.6636636636636637,0.7109099278809268,0.7005347593582887,0.8111455108359134,0.6164705882352941
8,0.6651651651651652,0.7229057036348374,0.6881118881118881,0.7616099071207431,0.6275510204081632
9,0.7087087087087087,0.7244943090017962,0.7069486404833837,0.7244582043343654,0.6902654867256637
10,0.6711711711711712,0.7207213712552689,0.6830680173661361,0.7306501547987616,0.6413043478260869
11,0.6546546546546547,0.6836238254700375,0.6525679758308157,0.6687306501547987,0.6371681415929203
12,0.6981981981981982,0.7420953343743513,0.6854460093896714,0.6780185758513931,0.6930379746835443
13,0.6516516516516516,0.6925597306591811,0.6305732484076434,0.6130030959752322,0.6491803278688525
14,0.6636636636636637,0.6978671167715206,0.676300578034682,0.7244582043343654,0.6341463414634146
15,0.6771771771771772,0.7413551886920181,0.6492659053833605,0.6160990712074303,0.6862068965517242
16,0.6606606606606606,0.6977949074366588,0.6282894736842106,0.5913312693498453,0.6701754385964912
17,0.6426426426426426,0.6468692740253997,0.5924657534246576,0.5356037151702786,0.6628352490421456
18,0.7012012012012012,0.7299190352832863,0.7161198288159771,0.7770897832817337,0.6640211640211641
19,0.6696696696696697,0.6917925064762747,0.6857142857142856,0.7430340557275542,0.636604774535809
20,0.6891891891891891,0.7274909963985594,0.7072135785007072,0.7739938080495357,0.6510416666666666
21,0.6726726726726727,0.7124714547473125,0.659375,0.653250773993808,0.6656151419558359
22,0.6726726726726727,0.7252525070178446,0.6929577464788732,0.7616099071207431,0.6356589147286822
23,0.6606606606606606,0.7103683578694635,0.6143344709897611,0.5572755417956656,0.6844106463878327
24,0.6651651651651652,0.7173636371841969,0.6772793053545586,0.7244582043343654,0.6358695652173914
25,0.6591591591591591,0.6994828006390525,0.7115628970775095,0.8668730650154799,0.603448275862069
26,0.6786786786786787,0.7173997418516279,0.6514657980456026,0.6191950464396285,0.6872852233676976
27,0.6816816816816816,0.7193584200597533,0.674846625766871,0.6811145510835913,0.668693009118541
28,0.6921921921921922,0.7421765698760707,0.6980854197349043,0.7337461300309598,0.6657303370786517
29,0.6531531531531531,0.695628627390806,0.6647314949201741,0.7089783281733746,0.6256830601092896
30,0.6786786786786787,0.7203512984141024,0.6852941176470588,0.7213622291021672,0.6526610644257703
31,0.6951951951951952,0.7298377997815668,0.7160839160839161,0.7925696594427245,0.6530612244897959
32,0.6486486486486487,0.7119840417369956,0.701530612244898,0.8513931888544891,0.596529284164859
33,0.6621621621621622,0.7019649965249257,0.647887323943662,0.6408668730650154,0.6550632911392406
34,0.6861861861861862,0.7352264213956259,0.7187079407806191,0.826625386996904,0.6357142857142857
35,0.6906906906906907,0.7427813230555381,0.7098591549295775,0.7801857585139319,0.6511627906976745
36,0.6996996996996997,0.7255413443572917,0.6951219512195121,0.7058823529411765,0.6846846846846847
37,0.6951951951951952,0.7411295345205751,0.6842923794712287,0.6811145510835913,0.6875
