train_w_distance,Train AUC,Train Accuracy,Train F1,Train Recall,Train Precision,val_w_distance,Val AUC,Val Accuracy,Val F1,Val Recall,Val Precision,Test AUC,Test Accuracy,Test F1,Test Recall,Test Precision,iteration
0.8499166413338598,0.7577858810255349,0.7254865269461078,0.3560988456305139,0.646969696969697,0.2456549385332768,1.079692244529724,0.7726988041882069,0.7031444306271096,0.3495523550019463,0.714968152866242,0.2313240597630087,0.689653304930995,0.6501501501501501,0.6537890044576523,0.6811145510835913,0.6285714285714286,0
0.72758347716874,0.7569678947160037,0.7299494760479042,0.3575006121585825,0.6401977198437375,0.2479925880172946,0.5594487190246582,0.767497137515172,0.7191330609344466,0.3549571603427172,0.6926751592356688,0.2386176631925397,0.6740741409345694,0.6471471471471472,0.6299212598425198,0.6191950464396285,0.6410256410256411,1
0.5757935955852805,0.751766832196146,0.7295190868263473,0.3530780763980575,0.6289563900183369,0.2454268292682926,0.5646187663078308,0.7593885681462433,0.761947059868538,0.3691148775894538,0.6242038216560509,0.2620320855614973,0.6803924577349736,0.6396396396396397,0.654178674351585,0.7027863777089783,0.6118598382749326,2
0.9441712465114936,0.7470941978179579,0.7268151197604791,0.348491610139236,0.6226776174148791,0.2419519752130131,0.5851373672485352,0.7556979050049862,0.7194883638301652,0.3456278491504351,0.6640127388535032,0.2336134453781512,0.623798391537066,0.5900900900900901,0.5793528505392912,0.5820433436532507,0.5766871165644172,3
0.4451888321759458,0.7411391928742268,0.725748502994012,0.3451003172617186,0.6158201100390719,0.2397181612192321,0.4945824444293976,0.7514376105670586,0.7036773849706875,0.3401898734177215,0.6847133757961783,0.2263157894736842,0.6842646833169359,0.6441441441441441,0.5805309734513274,0.5077399380804953,0.6776859504132231,4
0.5976378929650712,0.7502475550802294,0.7486620508982036,0.360785246876859,0.6044008610380291,0.2571399497998778,0.4413861632347107,0.7566750981013987,0.6748978504174808,0.3330903790087463,0.7277070063694268,0.2159735349716446,0.5961061116175794,0.5675675675675675,0.6210526315789474,0.7306501547987616,0.540045766590389,5
1.107569069919472,0.7476775852516023,0.7435254491017964,0.3596823172156038,0.6140532780347743,0.2543274312896406,0.5759322643280029,0.763885439472615,0.7461360810090603,0.3657345761207279,0.6560509554140127,0.2535384615384615,0.7125707425827474,0.6741741741741741,0.6895565092989986,0.7461300309597523,0.6409574468085106,6
1.041703828294834,0.7800210691906824,0.7418413173652695,0.3774649158431479,0.6669058438969944,0.2632241417288146,0.8277716040611267,0.7900053747212341,0.6976372357434714,0.3518659558263519,0.7356687898089171,0.2312312312312312,0.7401908131673722,0.6801801801801802,0.6917510853835022,0.739938080495356,0.6494565217391305,7
0.6771057132118476,0.7581303000351582,0.7041541916167665,0.3489272330436931,0.6757317170428264,0.2351847225691842,0.5616718530654907,0.7679515052403533,0.7079410197193107,0.3460620525059666,0.6926751592356688,0.2306468716861081,0.6773506395039218,0.6381381381381381,0.6440177252584933,0.6749226006191951,0.615819209039548,8
0.8278595421485558,0.7819274730568616,0.7107129491017964,0.3658291457286433,0.7111075671796507,0.2462583531231015,0.7529787421226501,0.7883232270743306,0.7171788950079944,0.3580645161290323,0.7070063694267515,0.2397408207343412,0.6775492151747917,0.6306306306306306,0.6215384615384615,0.6253869969040248,0.617737003058104,9
0.6775495689072295,0.741731603509393,0.7119854041916168,0.3430437287918561,0.6406536468712635,0.234232921426906,0.2819046974182129,0.7486852947881761,0.7518209273405578,0.3588802202845342,0.6226114649681529,0.2520954223081882,0.6925055736580347,0.6516516516516516,0.6000000000000001,0.5386996904024768,0.6770428015564203,10
0.5222248103804217,0.758600923027568,0.7572604790419162,0.3704746190429971,0.6086748524956147,0.2662713637949075,0.4783793091773987,0.7670706304598952,0.6635281577544857,0.3307420494699646,0.7452229299363057,0.2125340599455041,0.6315338165341324,0.6036036036036037,0.5335689045936396,0.4674922600619195,0.6213991769547325,11
