Fold,Iteration,Test_AUC,Best_params,Best_epoch
Fold_1,36,0.8112397449950081,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [128, 14]}",49
Fold_1,37,0.5753059327131224,"{'nz': 100, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",30
Fold_1,38,0.6011677424180897,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",33
Fold_1,39,0.8151664157937,"{'nz': 100, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",59
Fold_2,40,0.6341350073124634,"{'nz': 100, 'd_dim': 256, 'lr': 0.0001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [128, 14]}",9
Fold_2,41,0.7828851332578171,"{'nz': 256, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [256, 28]}",33
Fold_2,42,0.8130829743254672,"{'nz': 256, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",58
Fold_2,43,0.6121754044754109,"{'nz': 256, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [128, 14]}",51
Fold_2,44,0.5,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [256, 28]}",56
Fold_2,45,0.6176331891195428,"{'nz': 128, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [128, 14]}",10
Fold_2,46,0.6233391242752417,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",12
Fold_2,47,0.6348846493223377,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [256, 28]}",49
Fold_2,48,0.5,"{'nz': 256, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",21
Fold_2,49,0.8037351575309216,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [128, 14]}",74
Fold_2,50,0.6174155708148741,"{'nz': 100, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.1, 'batch_size': [256, 28]}",9
Fold_2,51,0.7753156648540713,"{'nz': 100, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 0.01, 'batch_size': [256, 28]}",24
Fold_2,52,0.5,"{'nz': 128, 'd_dim': 128, 'lr': 0.001, 'lr_adv': 0.0001, 'lam': 1, 'batch_size': [128, 14]}",38
Fold_2,53,0.6306770058896628,"{'nz': 128, 'd_dim': 256, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.1, 'batch_size': [128, 14]}",44
Fold_2,54,0.8111482247048298,"{'nz': 100, 'd_dim': 100, 'lr': 0.001, 'lr_adv': 0.001, 'lam': 0.01, 'batch_size': [256, 28]}",97
Fold_2,55,0.7814203887971227,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [256, 28]}",55
Fold_2,56,0.6393436109830455,"{'nz': 100, 'd_dim': 128, 'lr': 0.0001, 'lr_adv': 0.001, 'lam': 1, 'batch_size': [128, 14]}",41
