nz,d_dim,lr,lr_adv,lam,batch_size,Epoch,Train AUC,Train Accuracy,Train F1,Train Recall,Train Precision,Train W_distance,Train critic_loss,Train gen_loss,Train total_loss,Val AUC,Val Accuracy,Val F1,Val Recall,Val Precision,Val W_distance,Val critic_loss,Val gen_loss,Val total_loss,Test AUC,Test Accuracy,Test F1,Test Recall,Test Precision,Test W_distance,Test critic_loss,Test gen_loss,Test total_loss,Iteration
100,100,1e-05,2.0000000000000003e-06,0.001,"[256, 28]",3,0.500144127491928,0.5254971590909091,0.1968986657050126,0.4803519061583577,0.1238282431206531,-0.0078432538292624,42.22217773090709,0.6329129023985429,0.6412358659570866,0.5085591790875092,0.7688207861425717,0.158447857720291,0.1852551984877126,0.1384180790960452,-0.0109500885009765,0.0109500885009765,0.596889078617096,0.5969000458717346,0.4980458348753034,0.521021021021021,0.5915492957746479,0.7151702786377709,0.5043668122270742,-0.010621502995491,0.010621502995491,0.6947581768035889,0.6947687864303589,<built-in function iter>
100,100,1e-05,2.0000000000000003e-06,0.001,"[256, 28]",1,0.4973219575222707,0.6056818181818182,0.1806375442739079,0.3722627737226277,0.1192517537022603,-0.0033621617762202,36.30164396979592,0.7557193691080267,0.7628788557746191,0.5054382135709049,0.2953586497890295,0.2171231186775228,0.8239700374531835,0.1250355214549588,-0.0052764108404517,0.0052764108404517,0.7457501888275146,0.7457554936408997,0.4467591547897355,0.527027027027027,0.5977011494252874,0.7244582043343654,0.508695652173913,-0.0045877047814428,0.0045877047814428,0.6982072591781616,0.6982118487358093,<built-in function iter>
100,100,1e-05,2.0000000000000003e-06,0.001,"[256, 28]",0,0.5118104926247643,0.4066051136363636,0.2057229774693411,0.6585514303104077,0.1219017575484452,-0.0081183119253678,40.59818742925471,0.6580927350304343,0.6660971679860895,0.5142081304449678,0.7328447701532311,0.1731958762886598,0.2418426103646833,0.1349036402569593,-0.0107570141553878,0.0107570141553878,0.6491197943687439,0.6491305232048035,0.4620585076135717,0.496996996996997,0.6578140960163432,0.9969040247678018,0.4908536585365853,-0.0109626799821853,0.0109626799821853,0.693144679069519,0.6931556463241577,<built-in function iter>
100,100,1e-05,2.0000000000000003e-06,0.001,"[256, 28]",4,0.5003409075563365,0.6999289772727273,0.1625371655104063,0.2537128712871287,0.1195683872849227,-0.0426239617846228,36.89506099007347,0.5201720210638914,0.527447224153172,0.5554058898475461,0.5009993337774816,0.2200624783061437,0.611969111969112,0.1341515023275497,-0.047046385705471,0.047046385705471,0.4491420388221741,0.4491890966892242,0.4517777035626281,0.5195195195195195,0.1351351351351351,0.0773993808049535,0.5319148936170213,-0.0473227649927139,0.0473227649927139,0.7286769151687622,0.7287242412567139,<built-in function iter>
100,100,1e-05,2.0000000000000003e-06,0.001,"[256, 28]",3,0.4891139922771113,0.1701704545454545,0.2137281292059219,0.9446757882212968,0.1204947264587601,-0.0085969136519865,42.05670680999756,0.5801936648108742,0.5884821762778543,0.5689207693022532,0.5829447035309794,0.2353420195439739,0.544256120527307,0.1501298701298701,-0.0106967538595199,0.0106967538595199,0.5209218263626099,0.5209324955940247,0.446190506277699,0.5315315315315315,0.1702127659574468,0.0990712074303405,0.6037735849056604,-0.0115673094987869,0.0115673094987869,0.7059555649757385,0.705967128276825,<built-in function iter>
256,256,1e-05,2.0000000000000003e-06,0.001,"[128, 14]",1,0.5125660219854761,0.3797156531531531,0.2162738995108937,0.7012687427912342,0.1278519608873935,-0.0199176834241763,35.34436802391534,0.6395966979834411,0.6466423157185047,0.5262191009044612,0.7475016655562958,0.2021052631578947,0.2722117202268431,0.1607142857142857,-0.0354077965021133,0.0354077965021133,0.5555625557899475,0.5555979609489441,0.4899719286210725,0.5075075075075075,0.5816326530612245,0.7058823529411765,0.4945770065075922,-0.0344977229833602,0.0344977229833602,0.6998444199562073,0.6998789310455322,<built-in function iter>
256,256,1e-05,2.0000000000000003e-06,0.001,"[128, 14]",0,0.497674288456122,0.6163429054054054,0.1809166040570999,0.3650697392359005,0.1202556931681981,0.0050280125694231,40.35065607552056,0.6636173521076236,0.6716574558051855,0.498228310605696,0.4530313124583611,0.2077838533290447,0.6048689138576779,0.1254368932038835,0.0136261284351348,-0.0136261284351348,0.6064850091934204,0.6064713597297668,0.5382348428093042,0.6096096096096096,0.4672131147540983,0.3529411764705882,0.6909090909090909,0.0126883685588836,-0.0126883685588836,0.6950526833534241,0.6950399875640869,<built-in function iter>
256,256,1e-05,2.0000000000000003e-06,0.001,"[128, 14]",0,0.4969210470327018,0.1970016891891892,0.2051139134675677,0.9080814312152992,0.1156142004398366,0.0009967483882163,41.78750577703253,0.650439729024698,0.6587679225603736,0.5150726252782435,0.5203197868087941,0.1988130563798219,0.5143953934740882,0.1232183908045977,0.0112683828920125,-0.0112683828920125,0.6207340359687805,0.620722770690918,0.5385101408984646,0.5630630630630631,0.4073319755600814,0.3095975232198142,0.5952380952380952,0.0118988472968339,-0.0118988472968339,0.6938772201538086,0.6938652992248535,<built-in function iter>
256,256,1e-05,2.0000000000000003e-06,0.001,"[128, 14]",0,0.5090841250099489,0.4512246621621621,0.2026792105532262,0.5973477998794454,0.1220443349753694,0.0010492601641663,41.24293341507783,0.7180250920690932,0.7262421523772916,0.5076570924751602,0.3044636908727515,0.2090909090909091,0.7992277992277992,0.1202789076118535,0.0031223371624946,-0.0031223371624946,0.7134202122688293,0.713417112827301,0.4240944498099992,0.5180180180180181,0.1205479452054794,0.0681114551083591,0.5238095238095238,0.0029435008764266,-0.0029435008764266,0.6948034167289734,0.6948004961013794,<built-in function iter>
256,256,1e-05,2.0000000000000003e-06,0.001,"[128, 14]",0,0.4869793979658132,0.8478322072072072,0.0752780153977758,0.0554505356017643,0.1171770972037283,-0.0002568880482031,40.967804865794136,0.6657590935896108,0.6739215426445005,0.4910268774073885,0.8625360870530757,0.0578386605783866,0.0357815442561205,0.1507936507936507,0.0064728073775768,-0.0064728073775768,0.639000415802002,0.6389939188957214,0.5550280262480932,0.6231231231231231,0.4867075664621677,0.3684210526315789,0.7168674698795181,0.0066501200199127,-0.0066501200199127,0.6929919719696045,0.6929852962493896,<built-in function iter>
