Iteration,Epoch,Train AUC,Train Accuracy,Train F1,Train Recall,Train Precision,Train W_distance,Train critic_loss,Train gen_loss,Train total_loss,Val AUC,Val Accuracy,Val F1,Val Recall,Val Precision,Val W_distance,Val critic_loss,Val gen_loss,Val total_loss,Test AUC,Test Accuracy,Test F1,Test Recall,Test Precision,Test W_distance,Test critic_loss,Test gen_loss,Test total_loss
0,0,0.5970869115857182,0.6702561936936937,0.2490783779451835,0.4743589743589743,0.1688763312323408,3.222974543249956,-13.727244863773253,0.3724511263069806,0.3696051370576695,0.6676328555268983,0.6104819009549189,0.2887266828872668,0.6729678638941399,0.1837893649974186,1.3362140655517578,"tensor(-1.3362, device='cuda:0')",0.348574548959732,0.3472383320331573,0.4435187608878138,0.539039039039039,0.1769436997319035,0.1021671826625387,0.66,1.3714869022369385,"tensor(-1.3715, device='cuda:0')",1.205186128616333,1.2038146257400513
0,1,0.6348802979197921,0.6927787162162162,0.2786316311353495,0.5087507543753772,0.1918525261720528,1.158668423021162,-5.476338412042137,0.3515328246730942,0.350414006563726,0.6817444295291798,0.7001998667554963,0.3140243902439024,0.5841209829867675,0.2147324530924253,0.7994239330291748,"tensor(-0.7994, device='cuda:0')",0.3438734114170074,0.3430739939212799,0.4361173040644829,0.539039039039039,0.1352112676056338,0.0743034055727554,0.75,0.8490144610404968,"tensor(-0.8490, device='cuda:0')",1.0473374128341677,1.0464884042739868
0,2,0.6400211667703528,0.7237471846846847,0.2783599926457069,0.4734208880550344,0.1971354166666666,0.7805440535953453,-3.700789202709456,0.340434033591468,0.3396815490435372,0.6811457840804549,0.6764379302687098,0.3011990407673861,0.5935727788279773,0.2017994858611825,1.03315269947052,"tensor(-1.0332, device='cuda:0')",0.3485724925994873,0.347539335489273,0.4806614375073337,0.536036036036036,0.1095100864553314,0.0588235294117647,0.7916666666666666,1.073963642120361,"tensor(-1.0740, device='cuda:0')",1.3249566555023191,1.3238826990127563
0,3,0.642457527073628,0.7811092342342343,0.2883295194508009,0.3886489821098087,0.2291742451800655,0.7029447378338994,-3.3915564048666136,0.3418033010250813,0.3411258649976403,0.6989933623372336,0.705751721074839,0.3194658448895737,0.5879017013232514,0.2193229901269393,0.6366753578186035,"tensor(-0.6367, device='cuda:0')",0.3380285203456878,0.3373918533325195,0.4371372609194053,0.524024024024024,0.1723237597911227,0.1021671826625387,0.55,0.6935163736343384,"tensor(-0.6935, device='cuda:0')",1.2473829984664917,1.2466894388198853
0,4,0.6641888453701248,0.7008727477477478,0.2961245445511759,0.5283687943262412,0.2057063966866083,0.4871962696045369,-2.3651603391847096,0.3469162796800201,0.3464457623694126,0.6928846576471069,0.7124139462580502,0.3223443223443223,0.5822306238185255,0.2228654124457308,0.6854718923568726,"tensor(-0.6855, device='cuda:0')",0.3726599812507629,0.3719744980335235,0.5056639197032196,0.5405405405405406,0.2388059701492537,0.1486068111455108,0.6075949367088608,0.6984967589378357,"tensor(-0.6985, device='cuda:0')",1.5339826345443726,1.5332841873168943
0,5,0.6587270260605745,0.6936936936936937,0.2877250409165302,0.5282451923076923,0.1977058029689608,0.5678756034320539,-2.77642040229864,0.3450603482422528,0.3445121590362208,0.7173551525368583,0.6811014878969576,0.3207190160832545,0.6408317580340265,0.2138801261829653,0.6918594241142273,"tensor(-0.6919, device='cuda:0')",0.3395774960517883,0.338885635137558,0.6260278547509229,0.6186186186186187,0.603125,0.5975232198142415,0.6088328075709779,0.7229626178741455,"tensor(-0.7230, device='cuda:0')",1.0064860582351685,1.005763053894043
0,6,0.6642896425079581,0.7452843468468469,0.3071031973961325,0.4788059701492537,0.226042841037204,0.4579008884795077,-2.1844435092229566,0.3433581241616257,0.3429190819326555,0.6805473764725916,0.7255163224516988,0.3238512035010941,0.5595463137996219,0.2278675904541955,0.4801340103149414,"tensor(-0.4801, device='cuda:0')",0.3760106563568115,0.3755305111408233,0.5989764326783344,0.6186186186186187,0.5942492012779552,0.5758513931888545,0.6138613861386139,0.526410698890686,"tensor(-0.5264, device='cuda:0')",1.5782452821731567,1.5777188539505005
0,7,0.6840461854751296,0.6896114864864865,0.3052930056710775,0.5747330960854092,0.2078507078507078,0.5627354512343535,-2.6917772917076945,0.3406984984606236,0.3401538402408629,0.7186694611382303,0.7279591383522096,0.337479718766901,0.5897920604914934,0.2363636363636363,0.3619866371154785,"tensor(-0.3620, device='cuda:0')",0.3361254036426544,0.3357634246349334,0.5814746951412144,0.5870870870870871,0.439918533604888,0.3343653250773993,0.6428571428571429,0.4194013476371765,"tensor(-0.4194, device='cuda:0')",1.2707066535949707,1.270287275314331
0,8,0.6860915640629941,0.7318412162162162,0.3112798264642082,0.5295202952029521,0.2204301075268817,0.5319091806540618,-2.508975625843615,0.3306422354401769,0.3301300748843734,0.7163162636532546,0.7312902509438153,0.3344334433443344,0.5746691871455577,0.2358417377812257,0.4230476021766662,"tensor(-0.4230, device='cuda:0')",0.3313296735286712,0.3309066295623779,0.5389885277419239,0.5615615615615616,0.3271889400921659,0.2198142414860681,0.6396396396396397,0.5094760060310364,"tensor(-0.5095, device='cuda:0')",1.213375210762024,1.212865710258484
0,9,0.6776968300700065,0.7159346846846847,0.3062908215881746,0.533213644524237,0.2148541114058355,0.5756098947546504,-2.7334516221607053,0.340605136107754,0.3400496820634282,0.716699425281342,0.6848767488341105,0.323963792282039,0.6427221172022685,0.2165605095541401,0.6822785139083862,"tensor(-0.6823, device='cuda:0')",0.329912930727005,0.3292306661605835,0.5197266876675481,0.5615615615615616,0.4362934362934363,0.3498452012383901,0.5794871794871795,0.7657732367515564,"tensor(-0.7658, device='cuda:0')",1.2618728876113892,1.261107087135315
