Epoch,Train AUC,Train Accuracy,Train F1,Train Recall,Train Precision,Train W_distance,Train critic_loss,Train gen_loss,Val AUC,Val Accuracy,Val F1,Val Recall,Val Precision,Val W_distance,Test AUC,Test Accuracy,Test F1,Test Recall,Test Precision,Train total_loss,Val critic_loss,Val gen_loss,Val total_loss,Test W_distance,Test critic_loss,Test gen_loss,Test total_loss,Iteration
6,0.7577858810255349,0.7254865269461078,0.3560988456305139,0.646969696969697,0.2456549385332768,0.8499166413338598,-0.8278497728217995,0.3098782815976057,0.7726988041882069,0.7031444306271096,0.3495523550019463,0.714968152866242,0.2313240597630087,1.079692244529724,0.689653304930995,0.6501501501501501,0.6537890044576523,0.6811145510835913,0.6285714285714286,0.3097954966203231,-1.079692244529724,0.2981414794921875,0.2980335056781769,1.3047404289245603,-1.3047404289245603,1.2687135934829712,1.2685831785202026,0
6,0.7569678947160037,0.7299494760479042,0.3575006121585825,0.6401977198437375,0.2479925880172946,0.72758347716874,-0.7134208975370951,0.3112715037461526,0.767497137515172,0.7191330609344466,0.3549571603427172,0.6926751592356688,0.2386176631925397,0.5594487190246582,0.6740741409345694,0.6471471471471472,0.6299212598425198,0.6191950464396285,0.6410256410256411,0.3112001616563989,-0.5594487190246582,0.2993332147598266,0.2992772758007049,0.8822431564331055,-0.8822431564331055,1.1752567291259766,1.175168514251709,1
6,0.751766832196146,0.7295190868263473,0.3530780763980575,0.6289563900183369,0.2454268292682926,0.5757935955852805,-0.5565818640855169,0.3130566982095113,0.7593885681462433,0.761947059868538,0.3691148775894538,0.6242038216560509,0.2620320855614973,0.5646187663078308,0.6803924577349736,0.6396396396396397,0.654178674351585,0.7027863777089783,0.6118598382749326,0.3130010400231025,-0.5646187663078308,0.3008727431297302,0.3008162677288055,0.5716856122016907,-0.5716856122016907,1.1609762907028198,1.1609190702438354,2
4,0.7470941978179579,0.7268151197604791,0.348491610139236,0.6226776174148791,0.2419519752130131,0.9441712465114936,-0.9163362871387049,0.3161133188508941,0.7556979050049862,0.7194883638301652,0.3456278491504351,0.6640127388535032,0.2336134453781512,0.5851373672485352,0.623798391537066,0.5900900900900901,0.5793528505392912,0.5820433436532507,0.5766871165644172,0.3160216852221805,-0.5851373672485352,0.3082089126110077,0.3081504106521606,0.8216391801834106,-0.8216391801834106,1.3660465478897097,1.365964412689209,3
5,0.7411391928742268,0.725748502994012,0.3451003172617186,0.6158201100390719,0.2397181612192321,0.4451888321759458,-0.4355049026438486,0.3185140413438488,0.7514376105670586,0.7036773849706875,0.3401898734177215,0.6847133757961783,0.2263157894736842,0.4945824444293976,0.6842646833169359,0.6441441441441441,0.5805309734513274,0.5077399380804953,0.6776859504132231,0.3184704908535843,-0.4945824444293976,0.3127832412719726,0.3127337694168091,0.4751954078674316,-0.4751954078674316,1.3347511291503906,1.33470356464386,4
5,0.7502475550802294,0.7486620508982036,0.360785246876859,0.6044008610380291,0.2571399497998778,0.5976378929650712,-0.5865227187777351,0.3148706655837818,0.7566750981013987,0.6748978504174808,0.3330903790087463,0.7277070063694268,0.2159735349716446,0.4413861632347107,0.5961061116175794,0.5675675675675675,0.6210526315789474,0.7306501547987616,0.540045766590389,0.3148120133119041,-0.4413861632347107,0.3036810159683227,0.3036368787288666,0.616446852684021,-0.616446852684021,1.3125054836273191,1.3124438524246216,5
5,0.7476775852516023,0.7435254491017964,0.3596823172156038,0.6140532780347743,0.2543274312896406,1.107569069919472,-1.0738992328504602,0.314015885134657,0.763885439472615,0.7461360810090603,0.3657345761207279,0.6560509554140127,0.2535384615384615,0.5759322643280029,0.7125707425827474,0.6741741741741741,0.6895565092989986,0.7461300309597523,0.6409574468085106,0.3139084952113718,-0.5759322643280029,0.2992123067378998,0.2991546988487243,0.9294816255569458,-0.9294816255569458,1.1343026161193848,1.1342096328735352,6
9,0.7800210691906824,0.7418413173652695,0.3774649158431479,0.6669058438969944,0.2632241417288146,1.041703828294834,-0.9991735660030456,0.3003262894417711,0.7900053747212341,0.6976372357434714,0.3518659558263519,0.7356687898089171,0.2312312312312312,0.8277716040611267,0.7401908131673722,0.6801801801801802,0.6917510853835022,0.739938080495356,0.6494565217391305,0.3002263720851707,-0.8277716040611267,0.2884320914745331,0.28834930062294,0.925996720790863,-0.925996720790863,1.071367621421814,1.071274995803833,7
6,0.7581303000351582,0.7041541916167665,0.3489272330436931,0.6757317170428264,0.2351847225691842,0.6771057132118476,-0.6629317325333546,0.3105951748565285,0.7679515052403533,0.7079410197193107,0.3460620525059666,0.6926751592356688,0.2306468716861081,0.5616718530654907,0.6773506395039218,0.6381381381381381,0.6440177252584933,0.6749226006191951,0.615819209039548,0.310528881683275,-0.5616718530654907,0.3003613650798797,0.3003051877021789,0.7848053574562073,-0.7848053574562073,1.1154396533966064,1.115361213684082,8
8,0.7819274730568616,0.7107129491017964,0.3658291457286433,0.7111075671796507,0.2462583531231015,0.8278595421485558,-0.783305980122375,0.2991378911241086,0.7883232270743306,0.7171788950079944,0.3580645161290323,0.7070063694267515,0.2397408207343412,0.7529787421226501,0.6775492151747917,0.6306306306306306,0.6215384615384615,0.6253869969040248,0.617737003058104,0.2990595605260965,-0.7529787421226501,0.2922516465187073,0.2921763360500335,0.8254318237304688,-0.8254318237304688,1.1305019855499268,1.1304194927215576,9
